balls,strikes,game_year,batter,pitch_number,at_bat_number,home_score,away_score,on_3b,on_2b,on_1b,outs_when_up,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_Extreme outfield shift,of_fielding_alignment_Standard,of_fielding_alignment_Strategic,pitch_bin
3,1,2008,452783,5,34,3,4,0.0,135783.0,113232.0,0,0,0,0,0,0,0,1
3,0,2008,452783,4,34,3,4,0.0,135783.0,113232.0,0,0,0,0,0,0,0,1
1,0,2008,452783,2,34,3,4,0.0,135783.0,113232.0,0,0,0,0,0,0,0,1
3,2,2008,452783,7,34,3,4,0.0,135783.0,113232.0,0,0,0,0,0,0,0,1
1,0,2008,431151,2,25,2,3,0.0,408314.0,112116.0,1,0,0,0,0,0,0,0
2,1,2008,136860,4,11,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,1
3,1,2008,112116,5,24,2,3,0.0,0.0,408314.0,1,0,0,0,0,0,0,1
0,0,2008,431151,1,10,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,2,2008,112116,5,9,0,3,0.0,0.0,408314.0,0,0,0,0,0,0,0,1
1,1,2008,136860,3,11,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,0,2008,136860,2,11,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,0
0,0,2008,136860,1,11,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,2,2008,431151,3,10,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,1,2008,431151,2,10,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,0,2008,123107,1,12,2,3,0.0,0.0,0.0,2,0,0,0,0,0,0,1
2,0,2008,112116,3,9,0,3,0.0,0.0,408314.0,0,0,0,0,0,0,0,1
1,0,2008,112116,2,9,0,3,0.0,0.0,408314.0,0,0,0,0,0,0,0,1
0,0,2008,112116,1,9,0,3,0.0,0.0,408314.0,0,0,0,0,0,0,0,1
1,2,2008,408314,4,8,0,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,1,2008,408314,3,8,0,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,1,2008,408314,2,8,0,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
2,1,2008,112116,4,9,0,3,0.0,0.0,408314.0,0,0,0,0,0,0,0,1
0,0,2008,431151,1,25,2,3,0.0,408314.0,112116.0,1,0,0,0,0,0,0,0
2,2,2008,408314,5,23,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,0,2008,123107,2,12,2,3,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,2,2008,429720,3,22,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
1,2,2008,431151,4,10,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
2,2,2008,136860,5,11,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,0
3,2,2008,408314,6,23,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,0,2008,135783,2,16,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
3,0,2008,112116,4,24,2,3,0.0,0.0,408314.0,1,0,0,0,0,0,0,1
0,0,2008,135783,1,16,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
2,0,2008,112116,3,24,2,3,0.0,0.0,408314.0,1,0,0,0,0,0,0,1
1,0,2008,112116,2,24,2,3,0.0,0.0,408314.0,1,0,0,0,0,0,0,1
1,2,2008,408314,4,23,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,1,2008,408314,3,23,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,1,2008,408314,2,23,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,0
0,0,2008,112116,1,24,2,3,0.0,0.0,408314.0,1,0,0,0,0,0,0,1
3,2,2008,112116,6,9,0,3,0.0,0.0,408314.0,0,0,0,0,0,0,0,1
0,1,2008,429720,2,22,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
